,id,source
341,55621156,inat
342,55467080,inat
343,55376022,inat
344,55375433,inat
345,55334703,inat
346,55134014,inat
347,55129958,inat
348,55083813,inat
349,55055247,inat
350,55055177,inat
351,54821123,inat
352,54818721,inat
353,54775507,inat
354,54758970,inat
355,54680149,inat
356,54654909,inat
357,54643749,inat
358,54615613,inat
359,54537512,inat
360,54526426,inat
361,54407999,inat
362,54377254,inat
363,54257855,inat
364,54135756,inat
365,53971549,inat
366,53819330,inat
367,53762568,inat
368,53738762,inat
369,53735419,inat
370,53623832,inat
371,53621699,inat
372,53574044,inat
373,53565153,inat
374,53485233,inat
375,53485231,inat
376,53479581,inat
377,53473765,inat
378,53471340,inat
379,53466178,inat
380,53390954,inat
381,53370197,inat
382,53233862,inat
383,53205625,inat
384,53158160,inat
385,53135888,inat
386,53124029,inat
387,53080768,inat
388,53063388,inat
389,53054145,inat
390,53030238,inat
391,52962612,inat
392,52917380,inat
393,52914043,inat
394,52841816,inat
395,52689432,inat
396,52688092,inat
397,52657797,inat
398,52649308,inat
399,52598417,inat
400,52579210,inat
401,52474617,inat
402,52388890,inat
403,52362375,inat
404,52242550,inat
405,52160750,inat
406,52130281,inat
407,52016899,inat
408,52007558,inat
409,52000889,inat
410,51992729,inat
411,51943983,inat
412,51931718,inat
413,51911748,inat
414,51835807,inat
415,51814184,inat
416,51797001,inat
417,51772174,inat
418,51696318,inat
419,51677495,inat
420,51616890,inat
421,51560132,inat
422,51488534,inat
423,51410233,inat
424,51380901,inat
425,51380888,inat
426,51377836,inat
427,51351789,inat
428,51279552,inat
429,51269515,inat
430,51220221,inat
431,51033014,inat
432,51026578,inat
433,51001887,inat
434,50990983,inat
435,50984403,inat
436,50963602,inat
437,50781420,inat
438,50780174,inat
439,50716235,inat
440,50642496,inat
441,50639776,inat
442,50547482,inat
443,50466658,inat
444,50430378,inat
445,50417908,inat
446,50379846,inat
447,50315399,inat
448,50312245,inat
449,50303910,inat
450,50263096,inat
451,50249071,inat
452,50243990,inat
453,50136118,inat
454,50132348,inat
455,50132064,inat
456,50131674,inat
457,50038339,inat
458,50035197,inat
459,50028365,inat
460,49994565,inat
461,49887859,inat
462,49886605,inat
463,49880921,inat
464,49872264,inat
465,49871625,inat
466,49866060,inat
467,49761220,inat
468,49753081,inat
469,49739753,inat
470,49721707,inat
471,49708164,inat
472,49692537,inat
473,49615687,inat
474,49529943,inat
475,49502556,inat
476,49489595,inat
477,49470404,inat
478,49463298,inat
479,49427319,inat
480,49424514,inat
481,49414885,inat
482,49405611,inat
483,49344298,inat
484,49323570,inat
485,49321542,inat
486,49313057,inat
487,49309726,inat
488,49309191,inat
489,49232061,inat
490,49220282,inat
491,49215158,inat
492,49144280,inat
493,49112276,inat
494,49110420,inat
495,49087102,inat
496,49055727,inat
497,49055476,inat
498,49049639,inat
499,49046263,inat
500,48997304,inat
501,48996698,inat
502,48933138,inat
503,48909627,inat
504,48909393,inat
505,48904039,inat
506,48903924,inat
507,48888306,inat
508,48833564,inat
509,48829004,inat
510,48821787,inat
511,48791694,inat
512,48784111,inat
513,48765018,inat
514,48764330,inat
515,48751674,inat
516,48751550,inat
517,48715945,inat
518,48696508,inat
519,48691564,inat
520,48687850,inat
521,48680517,inat
522,48643654,inat
523,48641991,inat
524,48640833,inat
525,48624201,inat
526,48593177,inat
527,48586835,inat
528,48546213,inat
529,48536543,inat
530,48521419,inat
531,48509228,inat
532,48485188,inat
533,48482432,inat
534,48481860,inat
535,48459573,inat
536,48433984,inat
537,48418002,inat
538,48359965,inat
539,48356630,inat
540,48347144,inat
541,48323880,inat
542,48322024,inat
543,48321882,inat
544,48319245,inat
545,48304982,inat
546,48304944,inat
547,48304873,inat
548,48237225,inat
549,48209407,inat
550,48159060,inat
551,48148048,inat
552,48136846,inat
