"","X","settings","features","rm","train.AUC","avg.test.AUC","var.test.AUC","avg.diff.AUC","var.diff.AUC","avg.test.orMTP","var.test.orMTP","avg.test.or10pct","var.test.or10pct","AICc","delta.AICc","w.AIC","parameters"
"78",78,"LQTP_0.5","LQTP",0.5,0.8914,0.763525705057217,0.00594615764049802,0.138678136589383,0.00715131975829454,0.0663344407530454,0.00606235643707636,0.296677740863787,0.00861690268319334,7342.83118059582,944.39729440351,1.0902866428945e-194,160
"79",79,"LQHP_0.5","LQHP",0.5,0.8229,0.774546701734958,0.00496620634267407,0.0497755423884228,0.00740097423479382,0.0142857142857143,0.00102040816326531,0.155813953488372,0.00854503690785851,7260.09940029882,861.66551410651,1.0058159588046e-176,149
"80",80,"LQHPT_0.5","LQHPT",0.5,0.8936,0.765169518272425,0.00626797141839249,0.139231694547206,0.00732719732302284,0.0523809523809524,0.00691609977324263,0.315503875968992,0.00868925900989565,7520.88031302402,1122.44642683171,2.36953337947593e-233,165
"81",1,"LQ_10","LQ",10,0.6713,0.667021917681801,0.00537790111169323,0.0249038421597389,0.00166268364422394,0.00930232558139535,0.000162249864791779,0.12203765227021,0.000368005503986343,6547.50817381762,149.074287625311,2.66442389581043e-07,4
"82",2,"LQP_10","LQP",10,0.6724,0.665636744186046,0.0057291861552551,0.027416109119127,0.00202804722278892,0.00465116279069767,0.000108166576527853,0.136212624584718,0.00095120976099111,6548.85631615876,150.42242996645,1.35786917707487e-07,6
"83",3,"LQT_10","LQT",10,0.7003,0.678274592100406,0.00488159583259204,0.0248076612514719,0.00167751872074622,0.0140642303433001,0.000164886578391948,0.126688815060908,0.00230212690809152,6527.44374896174,129.009862769431,0.00606090977095278,6
"84",4,"LQH_10","LQH",10,0.7093,0.696307870062754,0.00369800637180693,0.0238858323876266,0.00166353147680364,0.00465116279069767,0.000108166576527853,0.108194905869324,0.00158411300341301,6524.7123861323,126.27849993999,0.0237490215266787,12
"85",5,"LQHT_10","LQHT",10,0.7171,0.69902365448505,0.00432014992255671,0.0239152823939313,0.00166658672921654,0.013953488372093,0.000432666306111412,0.108194905869324,0.00158411300341301,6522.67712453278,124.24323834047,0.0657048097459538,13
"86",6,"LQTP_10","LQTP",10,0.6971,0.675763744924326,0.00483403425148301,0.0275368175446977,0.00206732523882502,0.0140642303433001,0.000164886578391948,0.112513842746401,0.00169093056368031,6531.86503647664,133.43115028433,0.000664457845068107,8
"87",7,"LQHP_10","LQHP",10,0.7101,0.694719042081949,0.00346931066629979,0.0253143674252511,0.00182516530850752,0.00930232558139535,0.000162249864791779,0.112956810631229,0.00183972092532704,6518.28343685141,119.849550659101,0.591118184505339,10
"88",8,"LQHPT_10","LQHPT",10,0.7157,0.697046650055371,0.00402399717108811,0.025262449756021,0.00182343556721792,0.0187153931339978,0.000379932034108037,0.112956810631229,0.00183972092532704,6519.55696610198,121.12307990967,0.3127022143767,12
"89",9,"LQ_9.5","LQ",9.5,0.672,0.658269593946106,0.00711880620488374,0.0325363483415942,0.0028370359962924,0.00941306755260244,0.000166174275731565,0.122148394241417,0.0018361337684524,6548.3209313014,149.887045109091,1.35334573096362e-09,5
"90",10,"LQP_9.5","LQP",9.5,0.6732,0.659502735326689,0.00780221282038361,0.0334354158721016,0.00307279183466077,0.00941306755260244,0.000166174275731565,0.126688815060908,0.00268981578569773,6549.77073602622,151.33684983391,6.55522588316929e-10,7
"91",11,"LQT_9.5","LQT",9.5,0.7038,0.676355658914729,0.00877852370032468,0.0382888246265458,0.00416302510737586,0.00476190476190476,0.000113378684807256,0.13156146179402,0.00527244609760255,6521.69581957434,123.26193338203,0.000818423910415832,5
"92",12,"LQH_9.5","LQH",9.5,0.7123,0.689135555555556,0.00819720302907545,0.0393171171030632,0.0046885617882855,0.00465116279069767,0.000108166576527853,0.0937984496124031,0.00135999234739867,6518.32211021104,119.88822401873,0.0044215036605391,11
"93",13,"LQHT_9.5","LQHT",9.5,0.7222,0.694676912144703,0.00779424249955386,0.0381558074369691,0.00428683013982375,0.00465116279069767,0.000108166576527853,0.10797342192691,0.00294392139404888,6507.65400953009,109.22012333778,0.91647076972924,9
"94",14,"LQTP_9.5","LQTP",9.5,0.7016,0.674715703211517,0.0091482759316348,0.039828875234141,0.00434931070802508,0.00476190476190476,0.000113378684807256,0.140974529346622,0.00990447738496877,6527.73480842036,129.300922228051,3.99602818576472e-05,8
"95",15,"LQHP_9.5","LQHP",9.5,0.7129,0.689186626061277,0.00852946765922465,0.0405506840790988,0.00487138117028527,0.00465116279069767,0.000108166576527853,0.103322259136213,0.00241467778746617,6514.30705162381,115.873165431501,0.0329176545576656,10
"96",16,"LQHPT_9.5","LQHPT",9.5,0.7211,0.693388848283499,0.00801834313164745,0.0398844787771222,0.00458530703951486,0.00941306755260244,0.000166174275731565,0.103322259136213,0.00241467778746617,6513.66705736711,115.2331711748,0.0453316858514133,12
"97",17,"LQ_9","LQ",9,0.6724,0.657837301587302,0.0145152497561081,0.0436490384183593,0.00510652169592455,0.00952380952380952,0.000453514739229025,0.136434108527132,0.0029380347776392,6548.98849176635,150.554605574041,2.2279100458137e-11,6
"98",18,"LQP_9","LQP",9,0.6733,0.658557888519749,0.0153235024796714,0.0460535207604053,0.00573062232951837,0.0141749723145072,0.00045093934454979,0.155038759689922,0.00427208922148272,6550.51094342553,152.07705723322,1.04064229851546e-11,8
"99",19,"LQT_9","LQT",9,0.707,0.675891531930602,0.0145680974416101,0.0443776027525113,0.00525634895654767,0.00952380952380952,0.000453514739229025,0.145736434108527,0.00344281213476918,6520.09837942626,121.66449323395,4.18124713177025e-05,6
"100",20,"LQH_9","LQH",9,0.7156,0.688393643410853,0.00968860077608981,0.0398136106800669,0.00475190698031118,0.00465116279069767,0.000108166576527853,0.126688815060908,0.00150390785483113,6511.43910814265,113.00522195034,0.00317426152497812,10
"101",21,"LQHT_9","LQHT",9,0.7267,0.6909850018457,0.00912722477466447,0.0397865680621222,0.0046674271320805,0.0141749723145072,0.00045093934454979,0.131450719822813,0.00124287320841443,6499.950329025,101.516442832691,0.991743567694006,8
"102",22,"LQTP_9","LQTP",9,0.7064,0.674819822812846,0.0154844546521857,0.0471096317629459,0.00601827317526186,0.0141749723145072,0.00045093934454979,0.164451827242525,0.00573546526957637,6527.77813884481,129.3442526525,8.98808701603491e-07,10
"103",23,"LQHP_9","LQHP",9,0.716,0.688261812476929,0.00952071234940624,0.0417044588317579,0.00542062933530351,0.00930232558139535,0.000432666306111412,0.126578073089701,0.00146730045903344,6512.17754147747,113.74365528516,0.0021942895952363,11
"104",24,"LQHPT_9","LQHPT",9,0.727,0.690746365817645,0.00909805675226004,0.041522325869393,0.00528053006510355,0.0188261351052049,0.000664697102926261,0.131450719822813,0.00124287320841443,6511.65801262185,113.22412642954,0.00284516987307492,14
"105",25,"LQ_8.5","LQ",8.5,0.6726,0.667506825396825,0.00138079219444333,0.0121268290169869,0.000303462117141925,0.00941306755260244,0.000166174275731565,0.0982281284606866,0.00305791326806547,6547.49772530741,149.063839115101,8.02889330605144e-12,6
"106",26,"LQP_8.5","LQP",8.5,0.6738,0.666774064230343,0.00167890804650122,0.0170834858376371,0.000854064403166393,0.00941306755260244,0.000166174275731565,0.102879291251384,0.0022682482042754,6551.30158215547,152.86769596316,1.1985569296467e-12,9
"107",27,"LQT_8.5","LQT",8.5,0.7104,0.688866862310816,0.00255932743609736,0.0229633072798275,0.00146814651991602,0.00476190476190476,0.000113378684807256,0.112292358803987,0.00441824286952928,6517.94368550616,119.509799313851,2.10007056849257e-05,7
"108",28,"LQH_8.5","LQH",8.5,0.7186,0.701207799926172,0.000934847375651616,0.0169109321597808,0.00118444703022466,0.00930232558139535,0.000162249864791779,0.107862679955703,0.00153702007213558,6511.26706699814,112.83318080583,0.00059162044863881,12
"109",29,"LQHT_8.5","LQHT",8.5,0.7307,0.709137246216316,0.00111243621594289,0.01864820999832,0.00140829081704979,0.00465116279069767,0.000108166576527853,0.107862679955703,0.00153702007213558,6496.67545533058,98.2415691382703,0.872110250528056,9
